,coefficients,p_values,output_title,date_of_event,r_squared
6,1.3824511263896593,0.007266151056589112,abanca * avg,2023-07-01,0.9104038901651204
13,0.333640976235309,0.24846445139587978,n26 * avg,2023-07-01,0.43264403804031204
20,0.42720581856504597,0.05587369655667041,banc sabadell * avg,2022-08-01,0.7535794581697146
27,0.9593362113635386,0.0023344584066697684,banc sabadell * avg,2023-05-01,0.8463709478560735
34,0.12965462639731873,0.4177133166971492,openbank * avg,2022-04-01,0.6697689602106797
41,-0.0888995219560623,0.7447174655088,openbank * avg,2023-04-01,0.5752467091529393
48,-0.19254531008950732,0.7356702501031995,openbank * avg,2023-10-01,0.4307016372992363
55,0.08587719058445181,0.764391512659627,myinvestor * avg,2023-01-01,0.823845145033863
62,-0.42033481071316775,0.05195928009298014,evobanco * avg,2022-11-01,0.9251829550492275
69,0.4451990221417643,0.15134033704353209,evobanco * avg,2023-04-01,0.672175777602562
