bank,number_of_employee,assets_under_management,number_of_branches,age,has_stores,founded_before_2000,web_traffic
abanca,5946,72148000000,690,13,1,0,1357941.2502915422
santander,212764,1117000000000,8518,167,1,1,976275.8688128339
banc sabadell,19316,253000000000,1594,143,1,1,734644.1963274059
bankinter,6138,83300000000,523,59,1,1,275543.46320440737
bbva,121486,775000000000,1800,167,1,1,992082.8472546075
caixabank,44863,607167000000,3922,120,1,1,
evobanco,200,7350000000,80,12,1,0,169628.42402406692
imagin,118,607167000000,0,8,0,0,
ing,60778,976000000000,1660,33,1,1,701693.0191906819
kutxabank,5343,25000000000,737,12,1,0,
myinvestor,60,4000000000,0,7,0,0,229436.06865738594
n26,1500,8000000000,0,11,0,0,203100.7887023814
openbank,1100,1117000000000,0,28,0,1,424391.86973633076
pibank,65,15500000000,0,6,0,0,
revolut,7500,14000000000,0,9,0,0,146959.28546379998
