bank,date,incentive,apr
abanca,1/1/21,0,0
abanca,2/1/21,,
abanca,3/1/21,,
abanca,4/1/21,,
abanca,5/1/21,,
abanca,6/1/21,150,0
abanca,7/1/21,,
abanca,8/1/21,150,0
abanca,9/1/21,,
abanca,10/1/21,,
abanca,11/1/21,,
abanca,12/1/21,,
abanca,1/1/22,,
abanca,2/1/22,,
abanca,3/1/22,,
abanca,4/1/22,300,0
abanca,5/1/22,,
abanca,6/1/22,,
abanca,7/1/22,,
abanca,8/1/22,,
abanca,9/1/22,,
abanca,10/1/22,,
abanca,11/1/22,,
abanca,12/1/22,300,0
abanca,1/1/23,,
abanca,2/1/23,,
abanca,3/1/23,,
abanca,4/1/23,,
abanca,5/1/23,,
abanca,6/1/23,,
abanca,7/1/23,300,2
abanca,8/1/23,,
abanca,9/1/23,,
abanca,10/1/23,,
abanca,11/1/23,,
abanca,12/1/23,300,2
banc sabadell,1/1/21,0,0
banc sabadell,2/1/21,,
banc sabadell,3/1/21,,
banc sabadell,4/1/21,,
banc sabadell,5/1/21,,
banc sabadell,6/1/21,,
banc sabadell,7/1/21,,
banc sabadell,8/1/21,,
banc sabadell,9/1/21,,
banc sabadell,10/1/21,,
banc sabadell,11/1/21,,
banc sabadell,12/1/21,,
banc sabadell,1/1/22,,
banc sabadell,2/1/22,,
banc sabadell,3/1/22,,
banc sabadell,4/1/22,,
banc sabadell,5/1/22,,
banc sabadell,6/1/22,,
banc sabadell,7/1/22,,
banc sabadell,8/1/22,50,1
banc sabadell,9/1/22,0,1
banc sabadell,10/1/22,,
banc sabadell,11/1/22,175,2
banc sabadell,12/1/22,0,1
banc sabadell,1/1/23,175,2
banc sabadell,2/1/23,,
banc sabadell,3/1/23,,
banc sabadell,4/1/23,250,2
banc sabadell,5/1/23,200,2.5
banc sabadell,6/1/23,,
banc sabadell,7/1/23,,
banc sabadell,8/1/23,200,2.5
banc sabadell,9/1/23,,
banc sabadell,10/1/23,,
banc sabadell,11/1/23,,
banc sabadell,12/1/23,,
bankinter,1/1/21,0,5
bankinter,2/1/21,,
bankinter,3/1/21,,
bankinter,4/1/21,,
bankinter,5/1/21,,
bankinter,6/1/21,,
bankinter,7/1/21,,
bankinter,8/1/21,,
bankinter,9/1/21,,
bankinter,10/1/21,,
bankinter,11/1/21,,
bankinter,12/1/21,,
bankinter,1/1/22,,
bankinter,2/1/22,,
bankinter,3/1/22,,
bankinter,4/1/22,,
bankinter,5/1/22,,
bankinter,6/1/22,,
bankinter,7/1/22,,
bankinter,8/1/22,,
bankinter,9/1/22,,
bankinter,10/1/22,,
bankinter,11/1/22,0,5
bankinter,12/1/22,,
bankinter,1/1/23,,
bankinter,2/1/23,,
bankinter,3/1/23,,
bankinter,4/1/23,,
bankinter,5/1/23,,
bankinter,6/1/23,,
bankinter,7/1/23,0,5
bankinter,8/1/23,,
bankinter,9/1/23,,
bankinter,10/1/23,,
bankinter,11/1/23,,
bankinter,12/1/23,,
bbva,1/1/21,0,0
bbva,2/1/21,0,0
bbva,3/1/21,,
bbva,4/1/21,,
bbva,5/1/21,,
bbva,6/1/21,,
bbva,7/1/21,,
bbva,8/1/21,,
bbva,9/1/21,,
bbva,10/1/21,,
bbva,11/1/21,,
bbva,12/1/21,,
bbva,1/1/22,,
bbva,2/1/22,,
bbva,3/1/22,,
bbva,4/1/22,,
bbva,5/1/22,,
bbva,6/1/22,,
bbva,7/1/22,0,0
bbva,8/1/22,,
bbva,9/1/22,,
bbva,10/1/22,,
bbva,11/1/22,0,0
bbva,12/1/22,,
bbva,1/1/23,,
bbva,2/1/23,,
bbva,3/1/23,0,0
bbva,4/1/23,,
bbva,5/1/23,0,0
bbva,6/1/23,0,0
bbva,7/1/23,0,0
bbva,8/1/23,,
bbva,9/1/23,,
bbva,10/1/23,,
bbva,11/1/23,0,2
bbva,12/1/23,0,2
revolut,1/1/21,0,0
revolut,2/1/21,,
revolut,3/1/21,,
revolut,4/1/21,,
revolut,5/1/21,,
revolut,6/1/21,,
revolut,7/1/21,,
revolut,8/1/21,,
revolut,9/1/21,,
revolut,10/1/21,,
revolut,11/1/21,,
revolut,12/1/21,,
revolut,1/1/22,,
revolut,2/1/22,,
revolut,3/1/22,,
revolut,4/1/22,,
revolut,5/1/22,,
revolut,6/1/22,,
revolut,7/1/22,,
revolut,8/1/22,,
revolut,9/1/22,0,0
revolut,10/1/22,,
revolut,11/1/22,,
revolut,12/1/22,,
revolut,1/1/23,,
revolut,2/1/23,,
revolut,3/1/23,,
revolut,4/1/23,,
revolut,5/1/23,,
revolut,6/1/23,,
revolut,7/1/23,,
revolut,8/1/23,,
revolut,9/1/23,,
revolut,10/1/23,0,0
revolut,11/1/23,0,0
revolut,12/1/23,,
santander,1/1/21,0,0
santander,2/1/21,,
santander,3/1/21,,
santander,4/1/21,,
santander,5/1/21,,
santander,6/1/21,,
santander,7/1/21,,
santander,8/1/21,,
santander,9/1/21,,
santander,10/1/21,,
santander,11/1/21,,
santander,12/1/21,,
santander,1/1/22,,
santander,2/1/22,,
santander,3/1/22,,
santander,4/1/22,,
santander,5/1/22,150,0
santander,6/1/22,,
santander,7/1/22,,
santander,8/1/22,150,0
santander,9/1/22,,
santander,10/1/22,,
santander,11/1/22,,
santander,12/1/22,,
santander,1/1/23,,
santander,2/1/23,150,0
santander,3/1/23,,
santander,4/1/23,,
santander,5/1/23,,
santander,6/1/23,,
santander,7/1/23,,
santander,8/1/23,,
santander,9/1/23,400,0
santander,10/1/23,,
santander,11/1/23,,
santander,12/1/23,,
