bank,Dates,web_traffic,cross_visitation,search_interest,rank,incentive,apr,mentions,News_Based_Policy_Uncert_Index,number_of_employee,assets_under_management,number_of_branches,age,has_stores,founded_before_2000
abanca,2021/12/1,15202.98383,0.077994429,7.75,4,150,0,1,159.5752869,5946,72148000000,690,13,1,0
abanca,2022/1/1,42183.91321,0.0625,7.8,4,150,0,1,124.2296753,5946,72148000000,690,13,1,0
abanca,2022/2/1,34498.15311,0.052287582,7.25,4,150,0,2,133.508606,5946,72148000000,690,13,1,0
abanca,2022/3/1,34546.31902,0.061503418,6.75,4,150,0,2,169.8245239,5946,72148000000,690,13,1,0
abanca,2022/4/1,40508.28842,0.050221566,6.75,4,300,0,2,164.849472,5946,72148000000,690,13,1,0
abanca,2022/5/1,29791.33818,0.058295965,7.4,3.5,300,0,2,151.8746948,5946,72148000000,690,13,1,0
abanca,2022/6/1,35087.42369,0.05483871,8.5,4,300,0,0,166.84375,5946,72148000000,690,13,1,0
abanca,2022/7/1,61969.4993,0.060509555,8.2,4.5,300,0,1,175.8095093,5946,72148000000,690,13,1,0
abanca,2022/8/1,53939.00396,0.070652172,7,4.5,300,0,0,141.7874146,5946,72148000000,690,13,1,0
abanca,2022/9/1,50991.05641,0.060215052,8,5,300,0,3,151.2639465,5946,72148000000,690,13,1,0
abanca,2022/10/1,50567.1271,0.081577174,7.6,5,300,0,0,177.7106628,5946,72148000000,690,13,1,0
abanca,2022/11/1,54180.81091,0.060402684,7.25,4,300,0,0,171.2546844,5946,72148000000,690,13,1,0
abanca,2022/12/1,68183.61258,0.072664358,7.25,5,300,0,1,147.8868103,5946,72148000000,690,13,1,0
abanca,2023/1/1,72370.73483,0.065335751,7.4,3.5,300,0,0,155.2749634,5946,72148000000,690,13,1,0
abanca,2023/2/1,49474.72581,0.061870504,7,3.5,300,0,0,138.8798676,5946,72148000000,690,13,1,0
abanca,2023/3/1,57832.81252,0.052150045,7,5.333333333,300,0,1,149.4098511,5946,72148000000,690,13,1,0
abanca,2023/4/1,52944.02635,0.046511628,7.4,5.333333333,300,0,3,137.8336182,5946,72148000000,690,13,1,0
abanca,2023/5/1,57922.47265,0.053117782,6.5,5.333333333,300,0,1,140.4842072,5946,72148000000,690,13,1,0
abanca,2023/6/1,64628.53232,0.051813472,7.25,5.333333333,300,0,1,133.3937836,5946,72148000000,690,13,1,0
abanca,2023/7/1,77975.99732,0.071022727,7.4,5.333333333,300,2,1,151.3408051,5946,72148000000,690,13,1,0
abanca,2023/8/1,90688.23605,0.068376072,6.5,5.5,300,2,1,108.4366837,5946,72148000000,690,13,1,0
abanca,2023/9/1,69082.38842,0.063739374,6.75,5.5,300,2,0,120.3502426,5946,72148000000,690,13,1,0
abanca,2023/10/1,75669.22932,0.07272727,7,5.5,300,2,1,147.1368103,5946,72148000000,690,13,1,0
abanca,2023/11/1,60025.43195,0.067226894,6.75,4.235294118,300,2,1,145.5266113,5946,72148000000,690,13,1,0
abanca,2023/12/1,57677.13303,0.089403972,7,4.177419355,300,2,0,140.7147522,5946,72148000000,690,13,1,0
n26,2021/12/1,8723.148705,0.067204304,1,7,300,2,2,159.5752869,1500,8000000000,0,11,0,0
n26,2022/1/1,8046.05293,0.078723401,1,7,300,2,2,124.2296753,1500,8000000000,0,11,0,0
n26,2022/2/1,8164.758735,0.055476528,1,7,300,2,2,133.508606,1500,8000000000,0,11,0,0
n26,2022/3/1,7841.0999,0.056547619,1,7,300,2,1,169.8245239,1500,8000000000,0,11,0,0
n26,2022/4/1,7845.754761,0.052254099,1,7,300,2,1,164.849472,1500,8000000000,0,11,0,0
n26,2022/5/1,8710.658014,0.054621849,1,7,300,2,2,151.8746948,1500,8000000000,0,11,0,0
n26,2022/6/1,9082.355918,0.050343249,1,5.5,300,2,1,166.84375,1500,8000000000,0,11,0,0
n26,2022/7/1,8967.654057,0.045133993,1,5.5,300,2,0,175.8095093,1500,8000000000,0,11,0,0
n26,2022/8/1,8271.110873,0.054435484,1,8,300,2,0,141.7874146,1500,8000000000,0,11,0,0
n26,2022/9/1,7507.392109,0.049916804,1,8.5,300,2,5,151.2639465,1500,8000000000,0,11,0,0
n26,2022/10/1,7832.405722,0.0425,1,8.5,300,2,1,177.7106628,1500,8000000000,0,11,0,0
n26,2022/11/1,8572.818387,0.057971016,1,7.5,300,2,0,171.2546844,1500,8000000000,0,11,0,0
n26,2022/12/1,7645.014746,0.060126584,1,7.5,300,2,3,147.8868103,1500,8000000000,0,11,0,0
n26,2023/1/1,6712.435415,0.059866961,1,8.5,300,2,3,155.2749634,1500,8000000000,0,11,0,0
n26,2023/2/1,7039.850789,0.042735044,1,8.5,300,2,2,138.8798676,1500,8000000000,0,11,0,0
n26,2023/3/1,6817.596651,0.04180602,1,8,300,2,1,149.4098511,1500,8000000000,0,11,0,0
n26,2023/4/1,7107.173163,0.042168673,1,8,300,2,2,137.8336182,1500,8000000000,0,11,0,0
n26,2023/5/1,5993.323194,0.049157303,1.25,8,300,2,4,140.4842072,1500,8000000000,0,11,0,0
n26,2023/6/1,7893.129247,0.058626465,1.25,8,300,2,2,133.3937836,1500,8000000000,0,11,0,0
n26,2023/7/1,12885.46806,0.08361204,1.8,8,300,2,1,151.3408051,1500,8000000000,0,11,0,0
n26,2023/8/1,10296.80292,0.069324091,1.75,7.333333333,300,2,1,108.4366837,1500,8000000000,0,11,0,0
n26,2023/9/1,7169.720774,0.053364269,1.75,7.333333333,300,2,0,120.3502426,1500,8000000000,0,11,0,0
n26,2023/10/1,7557.701475,0.058947369,1.4,7.333333333,300,2,5,147.1368103,1500,8000000000,0,11,0,0
n26,2023/11/1,7283.357649,0.076023392,1.25,7.5,300,2,2,145.5266113,1500,8000000000,0,11,0,0
n26,2023/12/1,9134.004505,0.092261903,1.4,7.5,300,2,1,140.7147522,1500,8000000000,0,11,0,0
banc sabadell,2021/12/1,20016.55381,0.070229009,33.75,2,0,0,0,159.5752869,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/1/1,20016.55381,0.084604718,33.6,2,0,0,0,124.2296753,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/2/1,20016.55381,0.059620596,30.25,2,0,0,0,133.508606,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/3/1,20016.55381,0.067650676,29.5,2,0,0,0,169.8245239,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/4/1,20016.55381,0.064007424,28.5,2,0,0,0,164.849472,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/5/1,12267.12945,0.065608464,31.2,3,0,0,0,151.8746948,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/6/1,27765.97817,0.065616801,33,2,0,0,0,166.84375,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/7/1,33651.42665,0.076780759,34,2,0,0,0,175.8095093,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/8/1,36382.54242,0.079102717,27,4,50,1,0,141.7874146,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/9/1,40102.37194,0.075317606,32,4,0,1,0,151.2639465,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/10/1,18165.13326,0.071071073,29.4,4,0,1,0,177.7106628,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/11/1,32183.32743,0.075088337,29.25,4.666666667,175,2,0,171.2546844,19316,2.53E+11,1594,143,1,1
banc sabadell,2022/12/1,44020.33598,0.102260493,27.5,2.666666667,0,1,0,147.8868103,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/1/1,62312.79308,0.092445329,31.4,2,175,2,0,155.2749634,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/2/1,45136.35749,0.082107842,30,5.333333333,175,2,0,138.8798676,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/3/1,45176.84392,0.07935223,31.25,3.666666667,175,2,0,149.4098511,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/4/1,31605.25035,0.08135283,29,3.666666667,250,2,0,137.8336182,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/5/1,40352.96901,0.077485383,27.5,3.666666667,200,2.5,0,140.4842072,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/6/1,35514.7349,0.081952117,29.25,3.666666667,200,2.5,0,133.3937836,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/7/1,21331.91578,0.091762252,30.4,3.333333333,200,2.5,0,151.3408051,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/8/1,18200.44026,0.092857145,22,3.333333333,200,2.5,0,108.4366837,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/9/1,11592.1954,0.086187847,25,3.333333333,200,2.5,0,120.3502426,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/10/1,15965.00761,0.099300697,25.6,3.333333333,200,2.5,0,147.1368103,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/11/1,29518.77202,0.091743119,26.75,1.911764706,200,2.5,0,145.5266113,19316,2.53E+11,1594,143,1,1
banc sabadell,2023/12/1,33315.90213,0.141388178,25.8,2.129032258,200,2.5,0,140.7147522,19316,2.53E+11,1594,143,1,1
ing,2021/12/1,40358.43258,0.120855615,25.5,5,200,2.5,7,159.5752869,60778,9.76E+11,1660,33,1,1
ing,2022/1/1,32371.23346,0.121270455,23.625,5,200,2.5,4,124.2296753,60778,9.76E+11,1660,33,1,1
ing,2022/2/1,40358.43258,0.098604754,25.5,5,200,2.5,7,133.508606,60778,9.76E+11,1660,33,1,1
ing,2022/3/1,40358.43258,0.120556414,23.625,5,200,2.5,4,169.8245239,60778,9.76E+11,1660,33,1,1
ing,2022/4/1,40358.43258,0.114540465,23.625,5,200,2.5,4,164.849472,60778,9.76E+11,1660,33,1,1
ing,2022/5/1,33487.40605,0.127365351,64.65,4.333333333,200,2.5,6,151.8746948,60778,9.76E+11,1660,33,1,1
ing,2022/6/1,33983.0869,0.113435239,23.625,2,200,2.5,4,166.84375,60778,9.76E+11,1660,33,1,1
ing,2022/7/1,22189.24783,0.168411791,23.625,1,200,2.5,4,175.8095093,60778,9.76E+11,1660,33,1,1
ing,2022/8/1,29944.6441,0.132473961,23.625,1,200,2.5,4,141.7874146,60778,9.76E+11,1660,33,1,1
ing,2022/9/1,50772.22105,0.125662372,25.5,1,200,2.5,7,151.2639465,60778,9.76E+11,1660,33,1,1
