bank,date,web_traffic,number_of_employee,assets_under_management,number_of_branches,age,has_stores,founded_before_2000,cross_visitation,search_interest,rank,category_best_salary_accounts_helmycash,category_best_savings_accounts_helpmycash,incentive,apr,mentions
abanca,2021-12-01,15202.983834522543,5946,72148000000,690,13,1,0,0.0779944285750389,17.652685664464137,4.0,0,0,150.0,0.0,1.0
abanca,2021-12-01,15202.983834522543,5946,72148000000,690,13,1,0,0.0779944285750389,17.652685664464137,4.0,1,0,150.0,0.0,1.0
abanca,2021-12-01,15202.983834522543,5946,72148000000,690,13,1,0,0.0779944285750389,17.652685664464137,4.0,0,1,150.0,0.0,1.0
abanca,2022-01-01,42183.91320722453,5946,72148000000,690,13,1,0,0.0625,17.652685664464137,4.0,0,0,150.0,0.0,1.0
abanca,2022-01-01,42183.91320722453,5946,72148000000,690,13,1,0,0.0625,17.652685664464137,4.0,1,0,150.0,0.0,1.0
abanca,2022-01-01,42183.91320722453,5946,72148000000,690,13,1,0,0.0625,17.652685664464137,4.0,0,1,150.0,0.0,1.0
abanca,2022-02-01,34498.1531146278,5946,72148000000,690,13,1,0,0.0522875823080539,17.64399518220111,4.0,0,0,150.0,0.0,2.0
abanca,2022-02-01,34498.1531146278,5946,72148000000,690,13,1,0,0.0522875823080539,17.64399518220111,4.0,1,0,150.0,0.0,2.0
abanca,2022-02-01,34498.1531146278,5946,72148000000,690,13,1,0,0.0522875823080539,17.64399518220111,4.0,0,1,150.0,0.0,2.0
abanca,2022-03-01,34546.3190212837,5946,72148000000,690,13,1,0,0.061503417789936,17.64399518220111,4.0,0,0,150.0,0.0,2.0
abanca,2022-03-01,34546.3190212837,5946,72148000000,690,13,1,0,0.061503417789936,17.64399518220111,4.0,1,0,150.0,0.0,2.0
abanca,2022-03-01,34546.3190212837,5946,72148000000,690,13,1,0,0.061503417789936,17.64399518220111,4.0,0,1,150.0,0.0,2.0
abanca,2022-04-01,40508.28841987453,5946,72148000000,690,13,1,0,0.0502215661108493,17.64399518220111,4.0,0,0,300.0,0.0,2.0
abanca,2022-04-01,40508.28841987453,5946,72148000000,690,13,1,0,0.0502215661108493,17.64399518220111,4.0,1,0,300.0,0.0,2.0
abanca,2022-04-01,40508.28841987453,5946,72148000000,690,13,1,0,0.0502215661108493,17.64399518220111,4.0,0,1,300.0,0.0,2.0
abanca,2022-05-01,29791.338180302395,5946,72148000000,690,13,1,0,0.0582959651947021,8.0,4.0,0,0,300.0,0.0,2.0
abanca,2022-05-01,29791.338180302395,5946,72148000000,690,13,1,0,0.0582959651947021,8.0,3.0,1,0,300.0,0.0,2.0
abanca,2022-05-01,29791.338180302395,5946,72148000000,690,13,1,0,0.0582959651947021,8.0,3.0,0,1,300.0,0.0,2.0
abanca,2022-06-01,35087.42368705404,5946,72148000000,690,13,1,0,0.0548387095332145,17.661376146727168,6.0,0,0,300.0,0.0,0.0
abanca,2022-06-01,35087.42368705404,5946,72148000000,690,13,1,0,0.0548387095332145,17.661376146727168,2.0,1,0,300.0,0.0,0.0
abanca,2022-06-01,35087.42368705404,5946,72148000000,690,13,1,0,0.0548387095332145,17.661376146727168,2.0,0,1,300.0,0.0,0.0
abanca,2022-07-01,61969.49930377689,5946,72148000000,690,13,1,0,0.06050955504179,17.652685664464137,6.0,0,0,300.0,0.0,1.0
abanca,2022-07-01,61969.49930377689,5946,72148000000,690,13,1,0,0.06050955504179,17.652685664464137,3.0,1,0,300.0,0.0,1.0
abanca,2022-07-01,61969.49930377689,5946,72148000000,690,13,1,0,0.06050955504179,17.652685664464137,3.0,0,1,300.0,0.0,1.0
abanca,2022-08-01,53939.00396088239,5946,72148000000,690,13,1,0,0.0706521719694137,17.661376146727168,5.0,0,0,300.0,0.0,0.0
abanca,2022-08-01,53939.00396088239,5946,72148000000,690,13,1,0,0.0706521719694137,17.661376146727168,4.0,1,0,300.0,0.0,0.0
abanca,2022-08-01,53939.00396088239,5946,72148000000,690,13,1,0,0.0706521719694137,17.661376146727168,4.0,0,1,300.0,0.0,0.0
abanca,2022-09-01,50991.05641364365,5946,72148000000,690,13,1,0,0.0602150522172451,17.63530469993808,6.0,0,0,300.0,0.0,3.0
abanca,2022-09-01,50991.05641364365,5946,72148000000,690,13,1,0,0.0602150522172451,17.63530469993808,4.0,1,0,300.0,0.0,3.0
abanca,2022-09-01,50991.05641364365,5946,72148000000,690,13,1,0,0.0602150522172451,17.63530469993808,4.0,0,1,300.0,0.0,3.0
abanca,2022-10-01,50567.12709965697,5946,72148000000,690,13,1,0,0.0815771743655204,17.661376146727168,4.0,0,0,300.0,0.0,0.0
abanca,2022-10-01,50567.12709965697,5946,72148000000,690,13,1,0,0.0815771743655204,17.661376146727168,4.0,1,0,300.0,0.0,0.0
abanca,2022-10-01,50567.12709965697,5946,72148000000,690,13,1,0,0.0815771743655204,17.661376146727168,4.0,0,1,300.0,0.0,0.0
abanca,2022-11-01,54180.810910869746,5946,72148000000,690,13,1,0,0.0604026839137077,17.661376146727168,4.0,0,0,300.0,0.0,0.0
abanca,2022-11-01,54180.810910869746,5946,72148000000,690,13,1,0,0.0604026839137077,17.661376146727168,4.0,1,0,300.0,0.0,0.0
abanca,2022-11-01,54180.810910869746,5946,72148000000,690,13,1,0,0.0604026839137077,17.661376146727168,4.0,0,1,300.0,0.0,0.0
abanca,2022-12-01,68183.61257707448,5946,72148000000,690,13,1,0,0.0726643577218055,17.652685664464137,5.0,0,0,300.0,0.0,1.0
abanca,2022-12-01,68183.61257707448,5946,72148000000,690,13,1,0,0.0726643577218055,17.652685664464137,5.0,1,0,300.0,0.0,1.0
abanca,2022-12-01,68183.61257707448,5946,72148000000,690,13,1,0,0.0726643577218055,17.652685664464137,5.0,0,1,300.0,0.0,1.0
abanca,2023-01-01,72370.73482921092,5946,72148000000,690,13,1,0,0.0653357505798339,7.0,4.0,0,0,300.0,0.0,0.0
abanca,2023-01-01,72370.73482921092,5946,72148000000,690,13,1,0,0.0653357505798339,7.0,3.0,1,0,300.0,0.0,0.0
abanca,2023-01-01,72370.73482921092,5946,72148000000,690,13,1,0,0.0653357505798339,7.0,3.0,0,1,300.0,0.0,0.0
abanca,2023-02-01,49474.72580955974,5946,72148000000,690,13,1,0,0.0618705041706562,17.661376146727168,4.0,0,0,300.0,0.0,0.0
abanca,2023-02-01,49474.72580955974,5946,72148000000,690,13,1,0,0.0618705041706562,17.661376146727168,3.0,1,0,300.0,0.0,0.0
abanca,2023-02-01,49474.72580955974,5946,72148000000,690,13,1,0,0.0618705041706562,17.661376146727168,3.0,0,1,300.0,0.0,0.0
abanca,2023-03-01,57832.8125185439,5946,72148000000,690,13,1,0,0.0521500445902347,17.652685664464137,4.0,0,0,300.0,0.0,1.0
abanca,2023-03-01,57832.8125185439,5946,72148000000,690,13,1,0,0.0521500445902347,17.652685664464137,4.0,1,0,300.0,0.0,1.0
abanca,2023-03-01,57832.8125185439,5946,72148000000,690,13,1,0,0.0521500445902347,17.652685664464137,8.0,0,1,300.0,0.0,1.0
abanca,2023-04-01,52944.02634954544,5946,72148000000,690,13,1,0,0.0465116277337074,17.63530469993808,8.0,0,0,300.0,0.0,3.0
abanca,2023-04-01,52944.02634954544,5946,72148000000,690,13,1,0,0.0465116277337074,17.63530469993808,8.0,1,0,300.0,0.0,3.0
abanca,2023-04-01,52944.02634954544,5946,72148000000,690,13,1,0,0.0465116277337074,17.63530469993808,8.0,0,1,300.0,0.0,3.0
abanca,2023-05-01,57922.472646117,5946,72148000000,690,13,1,0,0.0531177818775177,17.652685664464137,8.0,0,0,300.0,0.0,1.0
abanca,2023-05-01,57922.472646117,5946,72148000000,690,13,1,0,0.0531177818775177,17.652685664464137,8.0,1,0,300.0,0.0,1.0
abanca,2023-05-01,57922.472646117,5946,72148000000,690,13,1,0,0.0531177818775177,17.652685664464137,8.0,0,1,300.0,0.0,1.0
abanca,2023-06-01,64628.532316185054,5946,72148000000,690,13,1,0,0.0518134720623493,17.652685664464137,8.0,0,0,300.0,0.0,1.0
