bank,date,web_traffic,number_of_employee,assets_under_management,number_of_branches,age,has_stores,founded_before_2000,cross_visitation,rank,category_best_salary_accounts_helmycash,category_best_savings_accounts_helpmycash,incentive,apr,mentions
abanca,2021-12-01,15202.983834522545,5946,72148000000,690,13,1,0,0.07799442857503891,4.0,0,0,300€,0%,1
abanca,2021-12-01,15202.983834522545,5946,72148000000,690,13,1,0,0.07799442857503891,4.0,1,0,300€,0%,1
abanca,2021-12-01,15202.983834522545,5946,72148000000,690,13,1,0,0.07799442857503891,4.0,0,1,300€,0%,1
abanca,2022-01-01,42183.91320722453,5946,72148000000,690,13,1,0,0.0625,4.0,0,0,300€,0%,1
abanca,2022-01-01,42183.91320722453,5946,72148000000,690,13,1,0,0.0625,4.0,1,0,300€,0%,1
abanca,2022-01-01,42183.91320722453,5946,72148000000,690,13,1,0,0.0625,4.0,0,1,300€,0%,1
abanca,2022-02-01,34498.1531146278,5946,72148000000,690,13,1,0,0.05228758230805397,4.0,0,0,300€,0%,2
abanca,2022-02-01,34498.1531146278,5946,72148000000,690,13,1,0,0.05228758230805397,4.0,1,0,300€,0%,2
abanca,2022-02-01,34498.1531146278,5946,72148000000,690,13,1,0,0.05228758230805397,4.0,0,1,300€,0%,2
abanca,2022-03-01,34546.3190212837,5946,72148000000,690,13,1,0,0.061503417789936066,4.0,0,0,300€,0%,2
abanca,2022-03-01,34546.3190212837,5946,72148000000,690,13,1,0,0.061503417789936066,4.0,1,0,300€,0%,2
abanca,2022-03-01,34546.3190212837,5946,72148000000,690,13,1,0,0.061503417789936066,4.0,0,1,300€,0%,2
abanca,2022-04-01,40508.28841987453,5946,72148000000,690,13,1,0,0.05022156611084938,4.0,0,0,300€,0%,2
abanca,2022-04-01,40508.28841987453,5946,72148000000,690,13,1,0,0.05022156611084938,4.0,1,0,300€,0%,2
abanca,2022-04-01,40508.28841987453,5946,72148000000,690,13,1,0,0.05022156611084938,4.0,0,1,300€,0%,2
abanca,2022-05-01,29791.338180302395,5946,72148000000,690,13,1,0,0.05829596519470215,4.0,0,0,300€,0%,2
abanca,2022-05-01,29791.338180302395,5946,72148000000,690,13,1,0,0.05829596519470215,3.0,1,0,300€,0%,2
abanca,2022-05-01,29791.338180302395,5946,72148000000,690,13,1,0,0.05829596519470215,3.0,0,1,300€,0%,2
abanca,2022-06-01,35087.42368705404,5946,72148000000,690,13,1,0,0.05483870953321457,6.0,0,0,300€,0%,0
abanca,2022-06-01,35087.42368705404,5946,72148000000,690,13,1,0,0.05483870953321457,2.0,1,0,300€,0%,0
abanca,2022-06-01,35087.42368705404,5946,72148000000,690,13,1,0,0.05483870953321457,2.0,0,1,300€,0%,0
abanca,2022-07-01,61969.49930377689,5946,72148000000,690,13,1,0,0.06050955504179001,6.0,0,0,300€,0%,1
abanca,2022-07-01,61969.49930377689,5946,72148000000,690,13,1,0,0.06050955504179001,3.0,1,0,300€,0%,1
abanca,2022-07-01,61969.49930377689,5946,72148000000,690,13,1,0,0.06050955504179001,3.0,0,1,300€,0%,1
abanca,2022-08-01,53939.00396088239,5946,72148000000,690,13,1,0,0.07065217196941376,5.0,0,0,300€,0%,0
abanca,2022-08-01,53939.00396088239,5946,72148000000,690,13,1,0,0.07065217196941376,4.0,1,0,300€,0%,0
abanca,2022-08-01,53939.00396088239,5946,72148000000,690,13,1,0,0.07065217196941376,4.0,0,1,300€,0%,0
abanca,2022-09-01,50991.05641364365,5946,72148000000,690,13,1,0,0.0602150522172451,6.0,0,0,300€,0%,3
abanca,2022-09-01,50991.05641364365,5946,72148000000,690,13,1,0,0.0602150522172451,4.0,1,0,300€,0%,3
abanca,2022-09-01,50991.05641364365,5946,72148000000,690,13,1,0,0.0602150522172451,4.0,0,1,300€,0%,3
abanca,2022-10-01,50567.12709965697,5946,72148000000,690,13,1,0,0.08157717436552048,4.0,0,0,300€,0%,0
abanca,2022-10-01,50567.12709965697,5946,72148000000,690,13,1,0,0.08157717436552048,4.0,1,0,300€,0%,0
abanca,2022-10-01,50567.12709965697,5946,72148000000,690,13,1,0,0.08157717436552048,4.0,0,1,300€,0%,0
abanca,2022-11-01,54180.810910869746,5946,72148000000,690,13,1,0,0.06040268391370773,4.0,0,0,300€,0%,0
abanca,2022-11-01,54180.810910869746,5946,72148000000,690,13,1,0,0.06040268391370773,4.0,1,0,300€,0%,0
abanca,2022-11-01,54180.810910869746,5946,72148000000,690,13,1,0,0.06040268391370773,4.0,0,1,300€,0%,0
abanca,2022-12-01,68183.61257707448,5946,72148000000,690,13,1,0,0.07266435772180557,5.0,0,0,300€,0%,1
abanca,2022-12-01,68183.61257707448,5946,72148000000,690,13,1,0,0.07266435772180557,5.0,1,0,300€,0%,1
abanca,2022-12-01,68183.61257707448,5946,72148000000,690,13,1,0,0.07266435772180557,5.0,0,1,300€,0%,1
abanca,2023-01-01,72370.73482921092,5946,72148000000,690,13,1,0,0.06533575057983398,4.0,0,0,300€,0%,0
abanca,2023-01-01,72370.73482921092,5946,72148000000,690,13,1,0,0.06533575057983398,3.0,1,0,300€,0%,0
abanca,2023-01-01,72370.73482921092,5946,72148000000,690,13,1,0,0.06533575057983398,3.0,0,1,300€,0%,0
abanca,2023-02-01,49474.72580955974,5946,72148000000,690,13,1,0,0.061870504170656204,4.0,0,0,300€,0%,0
abanca,2023-02-01,49474.72580955974,5946,72148000000,690,13,1,0,0.061870504170656204,3.0,1,0,300€,0%,0
abanca,2023-02-01,49474.72580955974,5946,72148000000,690,13,1,0,0.061870504170656204,3.0,0,1,300€,0%,0
abanca,2023-03-01,57832.8125185439,5946,72148000000,690,13,1,0,0.052150044590234756,4.0,0,0,300€,0%,1
abanca,2023-03-01,57832.8125185439,5946,72148000000,690,13,1,0,0.052150044590234756,4.0,1,0,300€,0%,1
abanca,2023-03-01,57832.8125185439,5946,72148000000,690,13,1,0,0.052150044590234756,8.0,0,1,300€,0%,1
abanca,2023-04-01,52944.02634954544,5946,72148000000,690,13,1,0,0.04651162773370743,8.0,0,0,300€,0%,3
abanca,2023-04-01,52944.02634954544,5946,72148000000,690,13,1,0,0.04651162773370743,8.0,1,0,300€,0%,3
abanca,2023-04-01,52944.02634954544,5946,72148000000,690,13,1,0,0.04651162773370743,8.0,0,1,300€,0%,3
abanca,2023-05-01,57922.472646117,5946,72148000000,690,13,1,0,0.0531177818775177,8.0,0,0,300€,0%,1
abanca,2023-05-01,57922.472646117,5946,72148000000,690,13,1,0,0.0531177818775177,8.0,1,0,300€,0%,1
abanca,2023-05-01,57922.472646117,5946,72148000000,690,13,1,0,0.0531177818775177,8.0,0,1,300€,0%,1
abanca,2023-06-01,64628.532316185054,5946,72148000000,690,13,1,0,0.05181347206234932,8.0,0,0,300€,0%,1
abanca,2023-06-01,64628.532316185054,5946,72148000000,690,13,1,0,0.05181347206234932,8.0,1,0,300€,0%,1
abanca,2023-06-01,64628.532316185054,5946,72148000000,690,13,1,0,0.05181347206234932,8.0,0,1,300€,0%,1
abanca,2023-07-01,77975.9973211147,5946,72148000000,690,13,1,0,0.07102272659540176,8.0,0,0,300€,0%,1
abanca,2023-07-01,77975.9973211147,5946,72148000000,690,13,1,0,0.07102272659540176,8.0,1,0,300€,0%,1
abanca,2023-07-01,77975.9973211147,5946,72148000000,690,13,1,0,0.07102272659540176,8.0,0,1,300€,0%,1
