bank,date,web_traffic,cross_visitation,search_interest,rank,incentive,apr,mentions,app_installs,ppc_spend
abanca,2021-12-01,15202.983834522545,0.07799442857503891,7.75,4.0,150.0,0.0,1.0,43605.699636587604,1506.1100264172692
abanca,2022-01-01,42183.91320722453,0.0625,7.8,4.0,150.0,0.0,1.0,43605.699636587604,1506.1100264172692
abanca,2022-02-01,34498.1531146278,0.05228758230805397,7.25,4.0,150.0,0.0,2.0,48647.434439288496,32750.639361247784
abanca,2022-03-01,34546.3190212837,0.061503417789936066,6.75,4.0,150.0,0.0,2.0,26687.227412621218,15754.21696392103
abanca,2022-04-01,40508.28841987453,0.05022156611084938,6.75,4.0,300.0,0.0,2.0,4254.184995114275,6542.970637985338
abanca,2022-05-01,29791.338180302395,0.05829596519470215,7.4,3.5,300.0,0.0,2.0,37873.38109860162,36164.16212785903
abanca,2022-06-01,35087.42368705404,0.05483870953321457,8.5,4.0,300.0,0.0,0.0,128599.09596884114,27804.847555587654
abanca,2022-07-01,61969.49930377689,0.06050955504179001,8.2,4.5,300.0,0.0,1.0,150713.09809615536,34670.05336432649
abanca,2022-08-01,53939.00396088239,0.07065217196941376,7.0,4.5,300.0,0.0,0.0,108338.4117930066,38222.58961816167
abanca,2022-09-01,50991.05641364365,0.0602150522172451,8.0,5.0,300.0,0.0,3.0,78263.24787037556,23405.73804642317
abanca,2022-10-01,50567.12709965697,0.08157717436552048,7.6,5.0,300.0,0.0,0.0,53750.24665786939,17394.483666320262
abanca,2022-11-01,54180.810910869746,0.06040268391370773,7.25,4.0,300.0,0.0,0.0,57050.95552816763,31134.01270490776
abanca,2022-12-01,68183.61257707448,0.07266435772180557,7.25,5.0,300.0,0.0,1.0,25471.882869588037,24033.2632650365
abanca,2023-01-01,72370.73482921092,0.06533575057983398,7.4,3.5,300.0,0.0,0.0,25367.28290087622,17626.584750367296
abanca,2023-02-01,49474.72580955974,0.061870504170656204,7.0,3.5,300.0,0.0,0.0,19641.935405208777,16668.97277029499
abanca,2023-03-01,57832.8125185439,0.052150044590234756,7.0,5.333333333333333,300.0,0.0,1.0,22520.66778800761,25555.828548338577
abanca,2023-04-01,52944.02634954544,0.04651162773370743,7.4,5.333333333333333,300.0,0.0,3.0,21480.92894359599,33524.80221821964
abanca,2023-05-01,57922.472646117,0.0531177818775177,6.5,5.333333333333333,300.0,0.0,1.0,20514.785487035653,32345.01507562993
abanca,2023-06-01,64628.532316185054,0.05181347206234932,7.25,5.333333333333333,300.0,0.0,1.0,21100.393858595933,24356.155164305303
abanca,2023-07-01,77975.9973211147,0.07102272659540176,7.4,5.333333333333333,300.0,2.0,1.0,18089.033414202175,23932.98704755288
abanca,2023-08-01,90688.23604806988,0.0683760717511177,6.5,5.5,300.0,2.0,1.0,15606.37805407039,17975.57196243409
abanca,2023-09-01,69082.3884196847,0.06373937427997589,6.75,5.5,300.0,2.0,0.0,17406.995631725866,18924.59070049731
abanca,2023-10-01,75669.22931640742,0.072727270424366,7.0,5.5,300.0,2.0,1.0,20352.060325241848,24043.335166699064
abanca,2023-11-01,60025.43195222091,0.06722689419984818,6.75,4.235294117647059,300.0,2.0,1.0,17916.158127189527,21693.229344456104
abanca,2023-12-01,57677.13303408881,0.08940397202968597,7.0,4.17741935483871,300.0,2.0,0.0,16837.377593599624,18128.35707108712
n26,2021-12-01,8723.148705211035,0.0672043040394783,1.0,7.0,300.0,2.0,2.0,7939.828992072853,781.0264465278171
n26,2022-01-01,8046.052929595162,0.07872340083122253,1.0,7.0,300.0,2.0,2.0,7939.828992072853,781.0264465278171
n26,2022-02-01,8164.75873507709,0.05547652766108513,1.0,7.0,300.0,2.0,2.0,7939.828992072853,781.0264465278171
n26,2022-03-01,7841.099899837818,0.0565476194024086,1.0,7.0,300.0,2.0,1.0,6997.624012435099,1110.5883841112152
n26,2022-04-01,7845.754761392036,0.052254099398851395,1.0,7.0,300.0,2.0,1.0,3860.002118020292,2173.372818710235
n26,2022-05-01,8710.658014002576,0.054621849209070206,1.0,7.0,300.0,2.0,2.0,7854.208909197814,808.247560171811
n26,2022-06-01,9082.355918154666,0.05034324899315834,1.0,5.5,300.0,2.0,1.0,10135.245906849905,47.803949512195246
n26,2022-07-01,8967.654056796116,0.04513399302959442,1.0,5.5,300.0,2.0,0.0,10160.82297765174,4037.077830497019
n26,2022-08-01,8271.110873010459,0.05443548411130905,1.0,8.0,300.0,2.0,0.0,9059.807221727395,8484.219371430769
n26,2022-09-01,7507.39210860038,0.04991680383682251,1.0,8.5,300.0,2.0,5.0,9136.302596905562,15881.703022052921
