month,year,incentive,apr,notes,bank,notes_1,tag,site_changes,date
1,2021,0.0,0.0,,abanca,,,,2021-01-01
6,2021,150.0,0.0,800-1200 deposit,abanca,,increase incentive,,2021-06-01
8,2021,150.0,0.0,800-1200 deposit,abanca,,incentive decrease,,2021-08-01
4,2022,300.0,0.0,if over 1200 deposit,abanca,,"incentive decrease, apr decrease",,2022-04-01
12,2022,300.0,0.0,mejor cambia de el sitio,abanca,,,major site change ,2022-12-01
7,2023,300.0,2.0,,abanca,,increase apr,,2023-07-01
12,2023,300.0,2.0,,abanca,,increase apr,,2023-12-01
1,2021,0.0,0.0,,banc sabadell,,,,2021-01-01
8,2022,50.0,1.0,por el primer año,banc sabadell,,"incentive increase, apr increase",,2022-08-01
9,2022,0.0,1.0,por el primer año,banc sabadell,,increase incentive,,2022-09-01
11,2022,175.0,2.0,por el primer año,banc sabadell,175€ si domicilias tu nomina,"incentive decrease, apr increase",,2022-11-01
12,2022,0.0,1.0,por el primer año,banc sabadell,,"incentive decrease, apr decrease",,2022-12-01
1,2023,175.0,2.0,por el primer año,banc sabadell,175€ si domicilias tu nomina,increase apr,,2023-01-01
4,2023,250.0,2.0,por el primer año,banc sabadell,250â¬ por domiciliar tu nÃ³mina,increase incentive,,2023-04-01
5,2023,200.0,2.5,mejor cambia de el sitio,banc sabadell,200â¬ por domiciliar tu nÃ³mina,"incentive decrease, apr increase",major site change ,2023-05-01
8,2023,200.0,2.5,mejor cambia de el sitio,banc sabadell,"200â¬ por domiciliar tu nÃ³mina, y tambien 3% devolucion por todos los compras con la tarjeta en el verano",,,2023-08-01
1,2021,0.0,5.0,"5% por el primer año y despues 2%, 0% despues, 800 deposito, maximo de 340 de 5000",bankinter,,,,2021-01-01
11,2022,0.0,5.0,lo mismo pero con 2 cuentas gratis addcionalmente,bankinter,,,,2022-11-01
7,2023,0.0,5.0,añadir un balance maximo a 10000 por un total de 680 en incentivos,bankinter,,increase incentive,,2023-07-01
1,2021,0.0,0.0,,bbva,,,,2021-01-01
2,2021,0.0,0.0,mejor cambia de el sitio,bbva,,,major site change,2021-02-01
7,2022,0.0,0.0,recibes 350 cuando recmoiendes un amigo a BBVA. 35 cada amigo y 15 por los amigos,bbva,,increase incentive,,2022-07-01
11,2022,0.0,0.0,La banca se reduzce la incentivo desde 35 por cada amigo a 15 por cada amigo. recibes 150 cuando recmoiendes un amigo a BBVA. 35 cada amigo y 15 por los amigos,bbva,,incentive decrease,,2022-11-01
3,2023,0.0,0.0,la banca se aumenta la incentivo a 35.,bbva,,increase incentive,,2023-03-01
5,2023,0.0,0.0,introdzce un descuenta por los servicios de media tal como Netflix etc,bbva,,,,2023-05-01
6,2023,0.0,0.0,La banca se reduzce la incentivo desde 35 por cada amigo a 15 por cada amigo. recibes 150 cuando recmoiendes un amigo a BBVA. 35 cada amigo y 15 por los amigos,bbva,,incentive decrease,,2023-06-01
