,title,url,date,text
0,"Tomorrow, last day of the account at 2.89% APR and deposit at 3.44% APR from Renault Bank",https://www.tucapital.es/depositos/manana-ultimo-dia-de-la-cuenta-al-289-tae-y-deposito-al-344-tae-de-renault-bank/,23/04/2024,"Tomorrow, April 24, 2024, the marketing period for the account at 2.89% APR and 2-year deposit and 3.44% from Renault Bank ends.
The French entity has already extended 5 times without changes since January 2024, when it made the first cut in recent years and affected exclusively the 2-year deposit, which fell from 3.85% APR to 3.44% APR.
The last extension was only 2 weeks, and if we already thought then that rates could be lowered, now it is even more likely.
As for your savings account, it leads to 2.89% APR from November 2023 without changes:

The characteristics of your 2-year deposit currently are:
Offer valid until April 24, 2024.
And the Account With You:
Offer valid until April 24, 2024.


Renault Bank has once again extended the contracting period for its products without changing its profitability: Account at 2.89% APR and deposit for 2 years and at 3.44% APR.
We congratulate our users who have been correct in their prediction with 67% of the votes (see here) stating that the bank would do that.
Next Wednesday, April 10, 2024, the marketing period for the Account at 2.89% APR and the deposit at 3.44% APR from Renault Bank ends. Will there be changes the next day?
What is your opinion? Answer us to the survey. Last time you got most of them right.
Renault Bank once again extends the profitability of its savings products without changes, this time, for three weeks, until April 10, 2024.
We thought that there was more probability of a decline than anything else, so this extension without cuts is good news."
1,ING gives you up to €120 if you direct your payroll and pay with their card,https://www.tucapital.es/cuentas/ing-te-da-hasta-120e-si-domicilias-nomina-y-pagas-con-su-tarjeta/,22/04/2024,"ING now asks, in addition to direct debiting a payroll, to spend money with your debit card if you want to receive up to €120 welcome.
Before I gave you the bonus directly if you direct deposited your income in the bank, now, in addition, you must spend money in a series of supermarkets that they indicate to receive those €120:
It gives you 6 months to do it, and the bank returns 15% of what you spend in those supermarkets paying with the ING card. That is, you have to spend €800 to get €120.
We don't think it's a big problem, it would mean spending around €130 a month in those supermarkets; but it's one more turn of the screw. This bank year after year wants to squeeze a little more out of savers.
The offer will be valid until May 26, 2024.
As disadvantages, it does not have immediate transfers.


ING tells you to make your “savings work for you with the new 3-month APR 2.50% Deposit” as “more than 250,000 customers” have already done.
But ING knows that whatever it launches, it works. As the bank says, more than 250,000 clients have hired it, although it does not specify how long or for what amount.
Anyone who has not had an Orange Bank account does not know what we are going to lose. The entity will close in 2024 and the clients will be transferred to Cetelem.
Today we have tried to look for an alternative, and we have not found any offer that equals or surpasses Orange Bank: either ATMs fail, or some operation is not available or has a cost, or it requires payroll or income.
ING once again cuts the profitability of its Orange deposits. Now it offers a maximum of 2.40% APR instead of the 2.55% APR that it had been offering.
It is the fourth consecutive drop in these products that were launched in the month of December, giving a maximum of 3% APR. With the successive decreases: in January, February, at the beginning of March and now, it remains at 2.4% APR."
2,Banco BIG deposits: slight increase in normal and combined deposits 5.06% APR,https://www.tucapital.es/depositos/depositos-de-banco-big-ligera-subida-los-normales-y-combinados-506-tae/,22/04/2024,"Banco BIG remodels its deposit offer with slight increases, and offers 2 deposits combined with investment funds of up to 5.06% APR.
In reality it is not an increase as such in normal deposits, it has simply adjusted the TIN and APR of the products.
For example, before the welcome deposit was 4.1% APR, it is now 4.1% TIN and therefore the APR becomes 4.14% for a 6-month term and interest payment due.
The welcome deposit, which suffered a drop last month from 4.25% APR to 4.1% APR, is now 4.14% APR.
The previous changes made by the bank were:
It is a great offer, high profitability, allows early cancellations, it is a shame that it is only for 6 months and only for new customers.
The characteristics of these deposits are:
The bank has not yet established a marketing period for this product.
Banco BIG offers in its Big BIG Account at 1.51% APR:
The Banco Big paid account is commission-free and has a Spanish IBAN, but under the Portuguese FGD. It is ING-style, but its headquarters are in Portugal.
As we always tell you, these products are not interesting. The extra return offered by the deposit could be insignificant compared to the possible positive or negative returns of the fund, in addition to the fund manager's fees.
The deposit is just a hook offer to attract inexperienced people and so that you don't wonder about the important part of the offer, the fund.
The bank has 2 offers that depend on the percentage of money you allocate to the fund:
Both offers start from a minimum investment of €10,000 and require you to keep the fund at least until the deposit matures. In case of default, you would not be paid interest on the deposit.


This time it was necessary to lower the profitability of the deposits of the bank's clients, from a maximum of 3.5% APR to 3.25% APR.
The previous time, at the beginning of March, the bank lowered welcome deposits from 4.25% APR to 4.1% APR.
Banco BIG has slightly lowered the profitability of its 6-month large welcome deposit from 4.25% APR to 4.1% APR.
It is a great offer, high profitability, allows early cancellations, it is a shame that it is only for 6 months and only for new customers.
Yes, the usual shit... deposit rates drop and banks begin to take advantage of people's misinformation to sneak in products they don't want attached to supposedly high-profit deposits.
This is how Banco BIG has been for a few days with its deposit at 5% APR and now MyInvestor with its deposit at 4% APR."
3,The future of Bitcoin: predictions for the next 5 years,https://www.tucapital.es/blogs/guias/el-futuro-de-bitcoin-predicciones-para-los-proximos-5-anos/,22/04/2024,"Since its launch, Bitcoin has seen positive and negative changes. However, most of the improvements related to Bitcoin resonate with the interest of investors around the world. Bitcoin currently has a significant lead in the cryptocurrency sector, the main reason behind its popularity. With the year 2023 here, experts predict that Bitcoin will continue to impact the financial industry in several ways. Understanding Bitcoin trends is vital to ensuring usage and successful businesses.
With the growing demand for cryptocurrencies around the world, a simultaneous growth in the number of analytical tools is notable. In this case, platforms like Trader AI are indispensable as they allow Bitcoin traders and investors to make informed decisions. Furthermore, such tools provide people with a clear projection of future expectations. Here are some Bitcoin predictions for the next five years:
In particular, Bitcoin has shown significant value growth since its launch. It is the only cryptocurrency that grew exponentially by more than 3,000% in a significantly short period after its launch. However, Bitcoin experienced a drop in value following the global economic recession from 2019 to date. Projections, however, indicate that with the expected stabilization of the global economy, the value of Bitcoin will increase significantly. There is a chance that Bitcoin will reach the $10 million mark in the next five years.
Being the first cryptocurrency to launch, Bitcoin quickly penetrated the market, with greater demand than other altcoins that emerged later. In a short time, Bitcoin exhibited its dominance in the crypto markets, which is why many investors and traders expressed interest in it. Despite the global economic downturn, Bitcoin still maintains a significant lead in crypto markets. Current indicators communicate Bitcoin's dominance over the next five years.
Bitcoin developers pioneered and implemented the idea of ​​developing a decentralized currency. Bitcoin inspired other currency developers to create a decentralized mechanism for initiating and completing transactions. Many people and companies consider Bitcoin to be an important player in the migration from a centralized to a decentralized monetary mechanism. Many believe that fully decentralized exchanges will materialize with the continued adoption of Bitcoin over the next five years.
Bitcoin is also considered an important element in facilitating business evolution worldwide. Demand for Bitcoin has increased significantly, leading businesses to adopt it as a means of payment. More companies are rapidly updating current payment mechanisms to incorporate Bitcoin. Experts predict that Bitcoin will greatly influence businesses by allowing them to support cryptocurrency payments. In this case, global companies will likely dominate the economy due to the introduction and use of Bitcoin as a means of payment.
A major concern since the launch of Bitcoin was taxation regulated by government bodies. Notably, Bitcoin is a decentralized currency that requires no regulators or intermediaries. That means that the government and the respective bodies do not have the mandate to embark on the regulation or control of crypto markets. As a result, experts project that Bitcoin will greatly and negatively affect taxes globally.
While Bitcoin developments over the next five years may be unpredictable, there are some signs that the cryptocurrency will be among the market leaders. Bitcoin's current strength indicates that the currency's performance and future are bright. In particular, new altcoins are entering the crypto markets, which could change the course of Bitcoin in terms of development. However, Bitcoin is likely to continue dominating the cryptocurrency market over the next five years.
Maybe you're wondering how blockchain technology could revolutionize supply chains? Here's how this technology could help revolutionize supply chains.
Perhaps you are wondering what qualities make Bitcoin considered money? Here's a guide to what makes this digital money so valuable.
Maybe you're wondering why the Bitcoin market is about to explode? Here's why the Bitcoin market will likely adopt this trend."
4,"Eco: Cetelem only allows maximum daily transfers of €30,000",https://www.tucapital.es/blogs/eco/eco-cetelem-solo-permite-transferencias-maximas-diarias-de-30-000e/,19/04/2024,"Due to the disappearance of Orange Bank, and the transfer of clients to Cetelem, the first ""unknown"" problems of this entity appear.
Today we echo a complaint from one of our users and new Cetelem client who complains about the maximum limit that the entity allows in daily transfers.
This limit, of €30,000, is considered insufficient, and that the entity should modify or remove.
Good morning.
I appreciate your banking information service.
I was a customer of Orange Bank and due to the Cetelem promotion I have migrated my funds to said bank, the truth is that I have not had any problems with the registration.
Now, I think it is worth echoing that once you have made the transfer to Cetelem, which in my case was 100K, I was disappointed to find out after complaining and receiving an official response from the bank, that it is not possible to make transfers of a high amount. On the same day, it is only possible to make 3 daily transfers of 10k and so that the account is not blocked, enter different concepts, that is, €30,000 per day.
What does a client do who needs his money to make an operation or investment on that day above 30k?
I think we should publish this outrage so that the bank modifies these policies that they claim are for our safety, but that become a mini corralito.
All the best.
We have confirmed this information with the entity: SEPA transfers have a maximum execution period of one business day, if they are ordered after 5:00 p.m., they will be processed the next business day. They have a maximum limit per operation of 10,000 euros and a maximum daily limit of 30,000 euros.
We must assume that Orange Bank will no longer exist and we must decide to go to another entity.
The alternatives that we have proposed, none are as good as Orange Bank (see here), perhaps N26 is one of the best offers (see here). But what about Cetelem?
Orange Bank will close all accounts on June 17, 2024, and there will be no migration of its customers to Cetelem, the entity that has purchased Orange Bank's business.
The only consideration that Cetelem has for Orange Bank customers is to give them a welcome offer, but they need to register with Cetelem.
Cetelem offers a ""welcome plan"" to Orange Bank customers by giving them a checking account that will be remunerated at 3.25% APR with no balance limit and a debit card with no fees."
5,"B100, another decent alternative to Orange Bank: commission-free account at 2.7% APR",https://www.tucapital.es/cuentas/b100-otra-alternativa-decente-a-orange-bank/,18/04/2024,"We already saw that N26 or Celetem could be good replacements for Orange Bank which will close its doors on June 17, 2024. Today we want to analyze the B100 offer.
Unfortunately, we will lose the Orange Bank account which was very good for all the services it offered and there is no offer that gives everything.
In the case of B100, we miss immediate transfers, which are at a cost, and cash withdrawals at any ATM.
As we have said, immediate transfers have a cost, in this case, of €1.5 for each one compared to the ""0"" cost of Orange Bank.
This is a minor problem, when you have Bizum, you could use it to transfer money immediately and for free even between your own accounts (see here).
On the other hand, you have to withdraw cash at their own ATMs (Abanca's) whenever you want, and they allow you to withdraw twice a month at no cost at the following ATM networks:
Yes, there are many ATMs, but Orange Bank allowed you to withdraw from any ATM and 3 times a month at no cost.
B100 offers slightly more profitability, 2.7% APR compared to 2% APR. If you also take care of yourself, it gives you a 3.4% APR on the Heath account. For that, you have to meet some physical well-being goals, and it doesn't let you put all the money you want in said account.
B100, since it is a Spanish entity, the money is covered by the Spanish FGD, compared to the French Orange Bank.
It is a current account for your daily life with no maintenance or administration fees, just like the Orange Bank current account.
It also does not charge you for transfers in the euro zone, transfers, Bizum, card...
It is an account without remuneration, without requiring anything in return; It also gives you a card with no fees for issuance, renewal, or currency exchange abroad when you use it.
It is a paid account:
The Health account is the same as the Save account, but it gives you a little more profitability if you meet health goals.
To deposit money into this account you will have to choose a daily step goal from several options and select an amount to transfer from your B100 Account, between €1 and €30 per day.
The transfer is automatic if you meet the objectives.


We still do not know how Orange Bank will end up with Cetelem, but B100, an Abanca online entity, wants to be its replacement and offers a very similar product in certain aspects and in others, improved.
It will offer an account, the B100 account, without commissions, with a card and all the services and remunerated, the same as Orange Bank.
If you want to save, it gives you a paid account at 2.7% APR in the Save account, better than Orange Bank (2% APR), and is a short distance from the Renault Bank Account (2.89% APR)."
6,Banca March raises its Avantio Flexible Deposit to 3.1% APR,https://www.tucapital.es/depositos/banca-march-sube-su-deposito-flexible-avantio-hasta-el-31-tae/,17/04/2024,"Banca March increases the profitability of its 12-month Flexible Avantio deposit to 3.1% APR for new digital clients.
It is a slight increase, of 0.1 percentage points, from the 3% APR. But given the downward trend, and after the bank's latest decline, an increase is appreciated, even if it is so little.
The bank does not require large capital to hire, from €10,000; and allows early cancellations.
In this case, the bank continues to compensate you for your money, at 1.51% APR instead of 3.1%, which by the way, in the previous offer, in case of cancellation, the profitability was 1% APR.
This product is exclusively for new customers who open the Avantio account through digital channels.
The characteristics of this fixed term are:
The offer will be valid until May 31, 2024.
This product has a dark side, the Avantio Account. It is free only if you have €10,000 invested in a bank product; in addition to other conditions that are easy to meet.
The entity accepts the €10,000 deposit so that you do not pay commissions on the account. So the problem would come after the expiration. You will have to cancel the account or you will have to pay €75 in semi-annual commissions (€150 per year).
The account is remunerated at 1% APR, but if you additionally direct a payroll, the account will give you 2.53% APR (2.5% TIN) for a maximum of €50,000.
The account supports up to 2 account holders.


Banca March's Avantio Flexible deposit with a 12-month term and 3% APR for new digital clients will be available for 1 more month.
The bank set the marketing deadline for this product until April 12, 2023.
Banca March relaunches the Avantio Flexible deposit with a 12-month term and now at 3% APR for new digital clients.
It represents a reduction of 0.3 percentage points compared to what the bank offered until December 31, 2023.
Banca March will continue to offer 12-month deposit terms and 3.3% APR until December 31, 2023.
This deposit, which was scheduled to end its marketing period on October 31, 2023, will be available to savers during the rest of the year."
7,Is Cetelem's 3.25% APR worth it? Is it better than Orange Bank?,https://www.tucapital.es/cuentas/merece-la-pena-el-325-tae-de-cetelem-es-mejor-que-orange-bank/,16/04/2024,"We must assume that Orange Bank will no longer exist and we must decide to go to another entity.
The alternatives that we have proposed, none are as good as Orange Bank (see here), perhaps N26 is one of the best offers (see here). But what about Cetelem?
As we saw with N26, its shortcomings were:
But it also has some extra advantages over Orange Bank:
The big drawback of Cetelem is that it charges commissions (€1.99 per month from 2025), in addition to lacking the Bizum service (see the comparison here).
Instead, it offers other advantages, such as 3.25% APR of account profitability instead of 2% APR, and deposits of up to 4% APR or that the money is under the Spanish FGD.
So what does that €1.99 per month commission mean? We must compare the remuneration against the cost.
Conclusions:
In addition, until 2025 you are exempt from commissions on the account, we believe that Cetelem's offer is good.


Due to the disappearance of Orange Bank, and the transfer of clients to Cetelem, the first ""unknown"" problems of this entity appear.
Today we echo a complaint from one of our users and new Cetelem client who complains about the maximum limit that the entity allows in daily transfers.
This limit, of €30,000, is considered insufficient, and that the entity should modify or remove.
Orange Bank will close all accounts on June 17, 2024, and there will be no migration of its customers to Cetelem, the entity that has purchased Orange Bank's business.
The only consideration that Cetelem has for Orange Bank customers is to give them a welcome offer, but they need to register with Cetelem.
Cetelem offers a ""welcome plan"" to Orange Bank customers by giving them a checking account that will be remunerated at 3.25% APR with no balance limit and a debit card with no fees."
8,How do I go from Orange Bank to Cetelem?,https://www.tucapital.es/cuentas/como-hago-para-pasar-de-orange-bank-a-cetelem/,16/04/2024,"Orange Bank will close all accounts on June 17, 2024, and there will be no migration of its customers to Cetelem, the entity that has purchased Orange Bank's business.
The only consideration that Cetelem has for Orange Bank customers is to give them a welcome offer, but they need to register with Cetelem.
It will not be an automatic process. If you want the Cetelem offer you must perform one action or another depending on whether or not you are already a Cetelem customer:
You must follow 3 steps:

Get in touch via the telephone number that you can consult in your Cetelem App - “Contact us” section - so that your conditions can be updated to the exclusive offer for Orange Bank customers.
You must cancel the account before June 17, 2024.
You must change your receipts, payroll, and subscriptions to a new account in which you are the owner.
If you have a debit card, you must destroy it.
Once you cancel the account, you will no longer have access to the Orange Bank app, so while you can still access it, download all the documentation that you consider important.
Be careful with purchase returns already made with the Orange Bank card. You must tell the merchant that that card no longer exists, and they must return the money to you in another way.


ING now asks, in addition to direct debiting a payroll, to spend money with your debit card if you want to receive up to €120 welcome.
Before they gave you the bonus directly if you direct deposited your income in the bank, now, in addition, you must spend money in a series of supermarkets that they indicate to receive those €120
We already saw that N26 or Celetem could be good replacements for Orange Bank which will close its doors on June 17, 2024. Today we want to analyze the B100 offer.
Unfortunately, we will lose the Orange Bank account which was very good for all the services it offered and there is no offer that gives everything.
In the case of B100, we miss immediate transfers, which are at a cost, and cash withdrawals at any ATM.
We must assume that Orange Bank will no longer exist and we must decide to go to another entity.
The alternatives that we have proposed, none are as good as Orange Bank (see here), perhaps N26 is one of the best offers (see here). But what about Cetelem?"
9,"Special Cetelem offer to Orange Bank customers, 3.25% APR",https://www.tucapital.es/cuentas/oferta-especial-de-cetelem-a-clientes-de-orange-bank-325-tae/,15/04/2024,"Cetelem offers a ""welcome plan"" to Orange Bank customers by giving them a checking account that will be remunerated at 3.25% APR with no balance limit and a debit card with no fees.
This offer is available from today, April 15, although we have not yet been able to access this link from the Orange Bank APP.
Now we give you the bad news: analyzing this offer in more depth, it is simply the Cetelem Premium Plan with slight improvements:
* Premium Plan has an initial cost of €1.99 until June 30, 2024.
* Welcome Plan is free of charge until December 31, 2024.
If you are an Orange Bank customer, you must unsubscribe before June 17, 2024, and if you want, you can also contract this Cetelem Welcome Plan.


Due to the disappearance of Orange Bank, and the transfer of clients to Cetelem, the first ""unknown"" problems of this entity appear.
Today we echo a complaint from one of our users and new Cetelem client who complains about the maximum limit that the entity allows in daily transfers.
This limit, of €30,000, is considered insufficient, and that the entity should modify or remove.
We must assume that Orange Bank will no longer exist and we must decide to go to another entity.
The alternatives that we have proposed, none are as good as Orange Bank (see here), perhaps N26 is one of the best offers (see here). But what about Cetelem?
Orange Bank will close all accounts on June 17, 2024, and there will be no migration of its customers to Cetelem, the entity that has purchased Orange Bank's business.
The only consideration that Cetelem has for Orange Bank customers is to give them a welcome offer, but they need to register with Cetelem."
